"","landscape_seed","starting_index","fitness_avg","fitness_var","fitness_min","fitness_max","count","starting_fitness","x","y","frac_1","frac_2","frac_3","frac_4","frac_5","frac_6"
"1",NA,0,1.5474495,0.0185010701967172,1.21,1.77156,100,1.000002,0,0.5,0.32,0.14,0.41,0.11,0.02,0
"2",NA,1,1.6035486,0.0167397588424647,1.331,1.77156,100,1.099998,0.166666666666667,0.142857142857143,0.23,0.27,0.44,0.06,0,0
"3",NA,2,1.589054,0.0189674556808081,1.331,1.77156,100,1.099998,0.166666666666667,0.285714285714286,0.34,0.28,0.32,0.06,0,0
"4",NA,3,1.588881,0.0182365848272727,1.331,1.77156,100,1.210002,0.333333333333333,0.0625,0.27,0.25,0.4,0.08,0,0
"5",NA,4,1.5932612,0.0176614332490505,1.21,1.77156,100,1.099998,0.166666666666667,0.428571428571429,0.27,0.25,0.42,0.05,0.01,0
"6",NA,5,1.6017941,0.0201547545719091,1.21,1.77156,100,1.210002,0.333333333333333,0.125,0.13,0.27,0.49,0.09,0.02,0
"7",NA,6,1.5782511,0.0265943237977677,1.21,1.77156,100,1.210002,0.333333333333333,0.1875,0.25,0.3,0.31,0.1,0.04,0
"8",NA,7,1.5984255,0.0149230178027778,1.21,1.77156,100,1.330998,0.5,0.0476190476190476,0.27,0.23,0.47,0.02,0.01,0
"9",NA,8,1.578567,0.0186068853646465,1.21,1.77156,100,1.099998,0.166666666666667,0.571428571428571,0.25,0.21,0.44,0.09,0.01,0
"10",NA,9,1.5926004,0.0200857555190303,1.1,1.77156,100,1.210002,0.333333333333333,0.25,0.3,0.28,0.36,0.05,0,0.01
"11",NA,10,1.5878864,0.0192954549182222,1.21,1.77156,100,1.210002,0.333333333333333,0.3125,0.23,0.23,0.46,0.05,0.03,0
"12",NA,11,1.6168464,0.0200596212838788,1.21,1.77156,100,1.330998,0.5,0.0952380952380952,0.26,0.37,0.32,0.04,0.01,0
"13",NA,12,1.5884164,0.0165605156717576,1.21,1.77156,100,1.210002,0.333333333333333,0.375,0.24,0.21,0.48,0.06,0.01,0
"14",NA,13,1.6071822,0.0184922235607677,1.331,1.77156,100,1.330998,0.5,0.142857142857143,0.2,0.3,0.42,0.08,0,0
"15",NA,14,1.5849824,0.0197824433982222,1.21,1.77156,100,1.330998,0.5,0.19047619047619,0.19,0.23,0.46,0.11,0.01,0
"16",NA,15,1.6155009,0.0205004069678687,1.331,1.77156,100,1.464102,0.666666666666667,0.0625,0.16,0.35,0.39,0.1,0,0
"17",NA,16,1.598492,0.0196703461474748,1.21,1.77156,100,1.099998,0.166666666666667,0.714285714285714,0.21,0.28,0.42,0.08,0.01,0
"18",NA,17,1.5882167,0.020585068099101,1.21,1.77156,100,1.210002,0.333333333333333,0.4375,0.22,0.26,0.41,0.1,0.01,0
"19",NA,18,1.5753096,0.0267045227513535,1.21,1.77156,100,1.210002,0.333333333333333,0.5,0.24,0.29,0.32,0.11,0.04,0
"20",NA,19,1.5999561,0.0194872033573636,1.21,1.77156,100,1.330998,0.5,0.238095238095238,0.2,0.28,0.43,0.08,0.01,0
"21",NA,20,1.5976922,0.0174888503749091,1.331,1.77156,100,1.210002,0.333333333333333,0.5625,0.27,0.27,0.4,0.06,0,0
"22",NA,21,1.5956558,0.0158568072064242,1.331,1.77156,100,1.330998,0.5,0.285714285714286,0.27,0.24,0.44,0.05,0,0
"23",NA,22,1.5989446,0.0162374116937778,1.21,1.77156,100,1.330998,0.5,0.333333333333333,0.16,0.22,0.54,0.07,0.01,0
"24",NA,23,1.5984799,0.0195724603484748,1.21,1.77156,100,1.464102,0.666666666666667,0.125,0.24,0.28,0.41,0.05,0.02,0
"25",NA,24,1.603096,0.0201769029333333,1.331,1.77156,100,1.210002,0.333333333333333,0.625,0.28,0.33,0.32,0.07,0,0
"26",NA,25,1.5950592,0.0229870310579394,1.21,1.77156,100,1.330998,0.5,0.380952380952381,0.22,0.31,0.36,0.09,0.02,0
"27",NA,26,1.5884974,0.0214570686234748,1.21,1.77156,100,1.330998,0.5,0.428571428571429,0.27,0.28,0.36,0.07,0.02,0
"28",NA,27,1.6215582,0.0155274909846061,1.21,1.77156,100,1.464102,0.666666666666667,0.1875,0.2,0.31,0.46,0.02,0.01,0
"29",NA,28,1.5993462,0.022366254644,1.21,1.77156,100,1.330998,0.5,0.476190476190476,0.33,0.34,0.28,0.02,0.03,0
"30",NA,29,1.6240205,0.0183546637522727,1.21,1.77156,100,1.464102,0.666666666666667,0.25,0.2,0.36,0.39,0.04,0.01,0
"31",NA,30,1.6186421,0.0161146277460505,1.331,1.77156,100,1.464102,0.666666666666667,0.3125,0.19,0.31,0.45,0.05,0,0
"32",NA,31,1.6193354,0.0181529089604444,1.21,1.77156,100,1.610508,0.833333333333333,0.142857142857143,0.21,0.34,0.4,0.04,0.01,0
"33",NA,32,1.5813621,0.0179902154389798,1.21,1.77156,100,1.099998,0.166666666666667,0.857142857142857,0.25,0.21,0.45,0.08,0.01,0
"34",NA,33,1.6078876,0.0206442117093333,1.331,1.77156,100,1.210002,0.333333333333333,0.6875,0.19,0.33,0.38,0.1,0,0
"35",NA,34,1.594113,0.0203166457686869,1.21,1.77156,100,1.210002,0.333333333333333,0.75,0.27,0.29,0.36,0.07,0.01,0
"36",NA,35,1.5855547,0.021603273419101,1.21,1.77156,100,1.330998,0.5,0.523809523809524,0.2,0.26,0.41,0.12,0.01,0
"37",NA,36,1.615288,0.015278283379798,1.331,1.77156,100,1.210002,0.333333333333333,0.8125,0.21,0.29,0.46,0.04,0,0
"38",NA,37,1.6246582,0.0157140652573333,1.331,1.77156,100,1.330998,0.5,0.571428571428571,0.19,0.33,0.44,0.04,0,0
"39",NA,38,1.6009822,0.0178807695607677,1.21,1.77156,100,1.330998,0.5,0.619047619047619,0.22,0.26,0.46,0.04,0.02,0
"40",NA,39,1.5927554,0.0205976122069091,1.21,1.77156,100,1.464102,0.666666666666667,0.375,0.2,0.27,0.42,0.1,0.01,0
"41",NA,40,1.585568,0.0217263571575758,1.21,1.77156,100,1.210002,0.333333333333333,0.875,0.23,0.27,0.38,0.11,0.01,0
"42",NA,41,1.6043422,0.0230672424153131,1.1,1.77156,100,1.330998,0.5,0.666666666666667,0.19,0.32,0.4,0.06,0.02,0.01
"43",NA,42,1.583799,0.0207959621606061,1.21,1.77156,100,1.330998,0.5,0.714285714285714,0.25,0.25,0.4,0.08,0.02,0
"44",NA,43,1.62933,0.015743533,1.331,1.77156,100,1.464102,0.666666666666667,0.4375,0.15,0.34,0.46,0.05,0,0
"45",NA,44,1.6111885,0.0169074807300505,1.331,1.77156,100,1.330998,0.5,0.761904761904762,0.26,0.31,0.39,0.04,0,0
"46",NA,45,1.6274533,0.014837133689,1.331,1.77156,100,1.464102,0.666666666666667,0.5,0.19,0.33,0.45,0.03,0,0
"47",NA,46,1.6173534,0.0212572729721616,1.21,1.77156,100,1.464102,0.666666666666667,0.5625,0.18,0.36,0.38,0.06,0.02,0
"48",NA,47,1.6326841,0.0164847293416061,1.331,1.77156,100,1.610508,0.833333333333333,0.285714285714286,0.13,0.36,0.45,0.06,0,0
"49",NA,48,1.5886015,0.0173896764674243,1.331,1.77156,100,1.210002,0.333333333333333,0.9375,0.28,0.24,0.41,0.07,0,0
"50",NA,49,1.5734729,0.0209618752167576,1.21,1.77156,100,1.330998,0.5,0.80952380952381,0.26,0.21,0.43,0.06,0.04,0
"51",NA,50,1.6053745,0.0172962533684344,1.21,1.77156,100,1.330998,0.5,0.857142857142857,0.19,0.26,0.49,0.04,0.02,0
"52",NA,51,1.6231808,0.0158481985953131,1.331,1.77156,100,1.464102,0.666666666666667,0.625,0.17,0.32,0.46,0.05,0,0
"53",NA,52,1.5995689,0.0185080833351414,1.331,1.77156,100,1.330998,0.5,0.904761904761905,0.23,0.28,0.41,0.08,0,0
"54",NA,53,1.5901103,0.0259714427140505,1.21,1.77156,100,1.464102,0.666666666666667,0.6875,0.18,0.31,0.37,0.1,0.04,0
"55",NA,54,1.6151839,0.0193512877876667,1.21,1.77156,100,1.464102,0.666666666666667,0.75,0.2,0.33,0.41,0.04,0.02,0
"56",NA,55,1.6404994,0.0210988015693333,1.21,1.77156,100,1.610508,0.833333333333333,0.428571428571429,0.14,0.45,0.34,0.05,0.02,0
"57",NA,56,1.6126139,0.0163445318341313,1.21,1.77156,100,1.330998,0.5,0.952380952380952,0.22,0.29,0.45,0.03,0.01,0
"58",NA,57,1.6085132,0.0179267564118788,1.331,1.77156,100,1.464102,0.666666666666667,0.8125,0.21,0.3,0.42,0.07,0,0
"59",NA,58,1.5849279,0.020133187010697,1.331,1.77156,100,1.464102,0.666666666666667,0.875,0.33,0.28,0.31,0.08,0,0
"60",NA,59,1.6305412,0.0148896870753131,1.331,1.77156,100,1.610508,0.833333333333333,0.571428571428571,0.21,0.35,0.42,0.02,0,0
"61",NA,60,1.6224887,0.0138400957568788,1.331,1.77156,100,1.464102,0.666666666666667,0.9375,0.21,0.3,0.47,0.02,0,0
"62",NA,61,1.6079421,0.0161572978773636,1.21,1.77156,100,1.610508,0.833333333333333,0.714285714285714,0.26,0.28,0.43,0.02,0.01,0
"63",NA,62,1.6125328,0.0164536003153131,1.331,1.77156,100,1.610508,0.833333333333333,0.857142857142857,0.3,0.32,0.36,0.02,0,0
"64",NA,63,1.6477522,0.0147531073203636,1.21,1.77156,100,1.77156,1,0.5,0.09,0.39,0.48,0.03,0.01,0
